Cities,2010,2011,2012,2013,2014,2015,2016,latitude,longitude,,
"Austin-Round Rock, TX Metro Area",5224,5449,6523,5585,5821,5693,7910,30.2672,-97.7431,,
"Bakersfield, CA Metro Area",288,346,357,380,440,454,406,35.3733,-119.0187,,
"Colorado Springs, CO Metro Area",981,1548,1400,1185,1223,1213,1142,38.8339,-104.8214,,
"Dallas-Fort Worth-Arlington, TX Metro Area",5060,4801,4636,4528,4145,6789,7153,32.7767,-96.797,,
"Jacksonville, FL Metro Area",338,393,464,473,471,508,593,30.3322,-81.6557,,
"Madison, WI Metro Area",3698,3953,4143,3867,4368,4671,4085,43.0731,-89.4012,,
"Memphis, TN-MS-AR Metro Area",590,595,605,529,583,653,723,35.1495,-90.049,,
"Milwaukee-Waukesha-West Allis, WI Metro Area",805,838,1100,1185,978,1067,1027,43.0389,-87.9065,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",8477,8660,7401,7539,8598,7924,8508,44.9778,-93.265,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",641,739,982,1291,977,1075,1059,36.1627,-86.7816,,
"Oklahoma City, OK Metro Area",880,935,960,887,1035,1094,1469,35.4676,-97.5164,,
"Omaha-Council Bluffs, NE-IA Metro Area",254,474,520,497,387,350,343,41.2565,-95.9345,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",19348,18494,19760,22726,24449,22546,19187,39.9526,-75.1652,,
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",28268,27713,24560,21470,26908,23571,23789,37.3382,-121.886,,
"Seattle-Tacoma-Bellevue, WA Metro Area",11454,11721,13025,11923,12559,12780,11803,47.6062,-122.332,,
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1563,3479,2998,2670,3175,3420,3513,27.9506,-82.4572,,
"Tucson, AZ Metro Area",1671,2370,1606,1323,1285,1355,1402,32.2226,-110.975,,
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",3625,4418,3506,3069,3398,3260,3516,36.8529,-75.978,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",46988,59435,47551,49278,52796,55692,52488,38.9072,-77.0369,,
"Wichita, KS Metro Area",267,191,240,220,278,310,242,37.6872,-97.3301,,
